Date,Open,High,Low,Close,Adj Close,Volume
2006-11-09,3.360000,3.700000,3.360000,3.700000,3.700000,95600
2006-11-10,3.600000,3.750000,3.600000,3.700000,3.700000,9400
2006-11-13,3.500000,3.500000,3.500000,3.500000,3.500000,100000
2006-11-14,3.500000,3.500000,3.430000,3.430000,3.430000,37700
2006-11-15,3.370000,3.370000,3.250000,3.300000,3.300000,23100
2006-11-16,3.480000,3.700000,3.480000,3.500000,3.500000,20100
2006-11-17,3.580000,3.800000,3.580000,3.800000,3.800000,40200
2006-11-20,3.850000,4.000000,3.850000,4.000000,4.000000,10300
2006-11-21,3.900000,3.900000,3.800000,3.850000,3.850000,6600
2006-11-22,3.800000,3.950000,3.800000,3.950000,3.950000,9100
2006-11-23,3.910000,3.910000,3.700000,3.800000,3.800000,20400
2006-11-24,3.920000,3.920000,3.810000,3.900000,3.900000,40200
2006-11-27,3.990000,4.500000,3.990000,4.500000,4.500000,117800
2006-11-28,4.300000,4.300000,3.930000,4.050000,4.050000,26600
2006-11-29,4.150000,4.150000,3.930000,4.000000,4.000000,10200
2006-11-30,4.150000,4.150000,4.100000,4.120000,4.120000,10600
2006-12-01,4.190000,4.190000,4.100000,4.100000,4.100000,21100
2006-12-04,4.110000,4.200000,4.020000,4.100000,4.100000,37700
2006-12-05,4.090000,4.100000,3.930000,4.000000,4.000000,30800
2006-12-06,3.930000,4.090000,3.930000,4.090000,4.090000,92100
2006-12-07,4.090000,4.120000,4.050000,4.060000,4.060000,61800
2006-12-08,4.080000,4.100000,4.010000,4.050000,4.050000,59400
2006-12-11,4.010000,4.040000,4.010000,4.040000,4.040000,13600
2006-12-12,4.010000,4.010000,3.890000,3.900000,3.900000,5900
2006-12-13,3.900000,4.000000,3.890000,4.000000,4.000000,11800
2006-12-14,4.000000,4.000000,3.890000,3.890000,3.890000,4200
2006-12-15,3.980000,3.980000,3.880000,3.880000,3.880000,11600
2006-12-18,3.900000,3.970000,3.750000,3.800000,3.800000,17100
2006-12-19,3.650000,3.960000,3.650000,3.800000,3.800000,11900
2006-12-20,3.800000,3.800000,3.750000,3.790000,3.790000,14400
2006-12-21,3.880000,3.900000,3.800000,3.900000,3.900000,15800
2006-12-22,3.900000,3.950000,3.830000,3.830000,3.830000,6200
2006-12-27,3.870000,3.870000,3.780000,3.840000,3.840000,14500
2006-12-28,3.800000,3.800000,3.800000,3.800000,3.800000,10900
2006-12-29,3.890000,4.030000,3.890000,4.030000,4.030000,38200
2007-01-02,4.030000,4.030000,4.030000,4.030000,4.030000,0
2007-01-03,3.770000,3.770000,3.750000,3.750000,3.750000,6600
2007-01-04,3.680000,3.990000,3.650000,3.800000,3.800000,26000
2007-01-05,3.830000,3.900000,3.830000,3.900000,3.900000,6700
2007-01-08,3.800000,3.800000,3.750000,3.750000,3.750000,3700
2007-01-09,3.650000,3.850000,3.650000,3.840000,3.840000,41600
2007-01-10,3.700000,3.830000,3.500000,3.790000,3.790000,94100
2007-01-11,3.790000,3.790000,3.790000,3.790000,3.790000,0
2007-01-12,3.650000,3.700000,3.650000,3.650000,3.650000,1400
2007-01-15,3.600000,3.600000,3.600000,3.600000,3.600000,2300
2007-01-16,3.550000,3.840000,3.550000,3.780000,3.780000,33200
2007-01-17,3.800000,3.890000,3.750000,3.860000,3.860000,57200
2007-01-18,3.860000,3.870000,3.700000,3.750000,3.750000,12400
2007-01-19,3.760000,3.760000,3.760000,3.760000,3.760000,8500
2007-01-22,3.760000,3.770000,3.750000,3.750000,3.750000,12400
2007-01-23,3.770000,3.920000,3.750000,3.920000,3.920000,52800
2007-01-24,3.620000,3.980000,3.620000,3.980000,3.980000,33200
2007-01-25,3.980000,3.980000,3.900000,3.980000,3.980000,377300
2007-01-26,3.940000,3.980000,3.850000,3.910000,3.910000,47100
2007-01-29,3.900000,3.910000,3.850000,3.910000,3.910000,13600
2007-01-30,3.900000,3.910000,3.900000,3.910000,3.910000,4200
2007-01-31,3.910000,3.940000,3.900000,3.940000,3.940000,23300
2007-02-01,3.900000,3.900000,3.890000,3.890000,3.890000,8400
2007-02-02,3.890000,3.900000,3.840000,3.900000,3.900000,43000
2007-02-05,3.900000,3.900000,3.900000,3.900000,3.900000,0
2007-02-06,3.900000,3.900000,3.900000,3.900000,3.900000,0
2007-02-07,3.890000,3.950000,3.850000,3.900000,3.900000,23700
2007-02-08,3.860000,3.950000,3.850000,3.900000,3.900000,22300
2007-02-09,3.850000,3.950000,3.850000,3.940000,3.940000,40000
2007-02-12,3.850000,4.050000,3.850000,3.970000,3.970000,46700
2007-02-13,3.850000,3.950000,3.820000,3.860000,3.860000,11000
2007-02-14,3.750000,3.950000,3.600000,3.750000,3.750000,101700
2007-02-15,3.750000,3.930000,3.520000,3.700000,3.700000,16300
2007-02-16,3.700000,3.700000,3.680000,3.690000,3.690000,8800
2007-02-19,3.500000,3.750000,3.500000,3.700000,3.700000,20600
2007-02-20,3.720000,3.720000,3.700000,3.700000,3.700000,2200
2007-02-21,3.750000,3.790000,3.700000,3.790000,3.790000,76000
2007-02-22,3.750000,3.750000,3.700000,3.750000,3.750000,3100
2007-02-23,3.700000,3.750000,3.470000,3.750000,3.750000,27800
2007-02-26,3.750000,3.750000,3.700000,3.740000,3.740000,4100
2007-02-27,3.740000,3.740000,3.550000,3.550000,3.550000,34200
2007-02-28,3.550000,3.600000,3.540000,3.540000,3.540000,5400
2007-03-01,3.600000,3.600000,3.550000,3.550000,3.550000,4100
2007-03-02,3.600000,3.650000,3.490000,3.540000,3.540000,7300
2007-03-05,3.700000,3.750000,3.600000,3.600000,3.600000,28500
2007-03-06,3.610000,3.610000,3.500000,3.500000,3.500000,19300
2007-03-07,3.450000,3.610000,3.450000,3.610000,3.610000,36400
2007-03-08,3.640000,3.650000,3.620000,3.630000,3.630000,23400
2007-03-09,3.600000,3.600000,3.560000,3.570000,3.570000,6600
2007-03-12,3.570000,3.570000,3.570000,3.570000,3.570000,0
2007-03-13,3.590000,3.620000,3.550000,3.550000,3.550000,170100
2007-03-14,3.540000,3.540000,3.350000,3.450000,3.450000,20500
2007-03-15,3.440000,3.500000,3.360000,3.400000,3.400000,112100
2007-03-16,3.350000,3.400000,3.260000,3.290000,3.290000,111100
2007-03-19,3.290000,3.290000,3.200000,3.210000,3.210000,481100
2007-03-20,3.150000,3.210000,3.070000,3.070000,3.070000,167300
2007-03-21,3.060000,3.290000,3.000000,3.050000,3.050000,97500
2007-03-22,3.100000,3.100000,2.900000,2.950000,2.950000,118300
2007-03-23,3.190000,3.190000,3.050000,3.050000,3.050000,13000
2007-03-26,3.150000,3.150000,2.980000,3.000000,3.000000,63100
2007-03-27,2.970000,3.100000,2.960000,3.100000,3.100000,22200
2007-03-28,3.100000,3.490000,3.010000,3.410000,3.410000,1629300
2007-03-29,3.540000,3.550000,3.390000,3.440000,3.440000,415200
2007-03-30,3.480000,3.480000,3.310000,3.360000,3.360000,142800
2007-04-02,3.370000,3.370000,3.120000,3.160000,3.160000,120200
2007-04-03,3.380000,3.440000,3.250000,3.250000,3.250000,312200
2007-04-04,3.300000,3.300000,3.230000,3.260000,3.260000,166100
2007-04-05,3.280000,3.290000,3.210000,3.250000,3.250000,131100
2007-04-09,3.250000,3.250000,3.220000,3.240000,3.240000,240400
2007-04-10,3.250000,3.250000,3.200000,3.210000,3.210000,101900
2007-04-11,3.230000,3.250000,3.210000,3.250000,3.250000,127900
2007-04-12,3.250000,3.250000,3.190000,3.220000,3.220000,59700
2007-04-13,3.220000,3.250000,3.200000,3.250000,3.250000,74600
2007-04-16,3.250000,3.370000,3.150000,3.150000,3.150000,282600
2007-04-17,3.240000,3.250000,3.150000,3.180000,3.180000,106600
2007-04-18,3.210000,3.210000,3.030000,3.110000,3.110000,132300
2007-04-19,3.150000,3.150000,2.850000,3.000000,3.000000,161300
2007-04-20,3.200000,3.200000,3.040000,3.170000,3.170000,70100
2007-04-23,3.230000,3.340000,3.170000,3.260000,3.260000,109500
2007-04-24,3.290000,3.350000,3.050000,3.090000,3.090000,190400
2007-04-25,3.100000,3.130000,2.970000,3.130000,3.130000,117400
2007-04-26,3.080000,3.080000,2.930000,2.990000,2.990000,195800
2007-04-27,3.000000,3.000000,2.970000,3.000000,3.000000,22300
2007-04-30,3.000000,3.010000,2.880000,2.930000,2.930000,127700
2007-05-01,2.930000,2.950000,2.850000,2.850000,2.850000,112000
2007-05-02,2.840000,2.890000,2.790000,2.850000,2.850000,81300
2007-05-03,2.840000,2.950000,2.830000,2.900000,2.900000,60600
2007-05-04,2.900000,2.950000,2.860000,2.950000,2.950000,94300
2007-05-07,2.950000,2.950000,2.890000,2.950000,2.950000,84700
2007-05-08,2.950000,3.250000,2.950000,3.050000,3.050000,249300
2007-05-09,3.140000,3.150000,3.030000,3.070000,3.070000,31200
2007-05-10,3.050000,3.230000,3.050000,3.120000,3.120000,88200
2007-05-11,3.150000,3.230000,3.120000,3.130000,3.130000,29100
2007-05-14,3.190000,3.190000,3.050000,3.150000,3.150000,39000
2007-05-15,3.150000,3.150000,3.030000,3.080000,3.080000,163400
2007-05-16,3.140000,3.140000,3.030000,3.030000,3.030000,15900
2007-05-17,3.040000,3.040000,2.950000,3.000000,3.000000,37600
2007-05-18,3.000000,3.040000,2.950000,3.040000,3.040000,41800
2007-05-22,3.000000,3.000000,2.850000,2.850000,2.850000,126700
2007-05-23,2.950000,2.960000,2.830000,2.890000,2.890000,1948500
2007-05-24,2.860000,2.900000,2.750000,2.800000,2.800000,63500
2007-05-25,2.800000,2.820000,2.700000,2.700000,2.700000,191800
2007-05-28,2.790000,2.790000,2.680000,2.700000,2.700000,19000
2007-05-29,2.700000,2.780000,2.690000,2.750000,2.750000,27900
2007-05-30,2.730000,2.850000,2.650000,2.850000,2.850000,92300
2007-05-31,2.800000,2.870000,2.800000,2.830000,2.830000,21700
2007-06-01,2.850000,3.000000,2.850000,3.000000,3.000000,412000
2007-06-04,3.000000,3.000000,2.830000,2.920000,2.920000,51000
2007-06-05,2.890000,2.950000,2.860000,2.950000,2.950000,33700
2007-06-06,2.840000,2.900000,2.760000,2.900000,2.900000,50300
2007-06-07,2.780000,2.990000,2.780000,2.860000,2.860000,30700
2007-06-08,2.860000,2.860000,2.750000,2.750000,2.750000,8800
2007-06-11,2.990000,2.990000,2.880000,2.900000,2.900000,94700
2007-06-12,2.900000,2.900000,2.850000,2.900000,2.900000,27100
2007-06-13,2.890000,2.890000,2.800000,2.810000,2.810000,16600
2007-06-14,2.800000,2.900000,2.780000,2.900000,2.900000,99900
2007-06-15,2.940000,2.950000,2.850000,2.850000,2.850000,57600
2007-06-18,2.900000,2.900000,2.850000,2.900000,2.900000,5400
2007-06-19,2.850000,2.900000,2.750000,2.900000,2.900000,60100
2007-06-20,2.900000,2.900000,2.850000,2.850000,2.850000,12800
2007-06-21,2.890000,2.890000,2.800000,2.800000,2.800000,27300
2007-06-22,2.760000,2.800000,2.760000,2.790000,2.790000,40700
2007-06-25,2.720000,2.770000,2.660000,2.770000,2.770000,60400
2007-06-26,2.660000,2.660000,2.610000,2.610000,2.610000,23200
